"Местное время в Ульяновске / Центральном (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"24.07.2021 22:00";"16.1";"750.0";"";"";"65";"Штиль, безветрие";"0";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.07.2021 19:00";"21.3";"748.0";"";"";"48";"Ветер, дующий с севера";"1";"";"";"60%.";"Ливневый(ые) дождь(и). ";"";"";"";"23.1";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"24.07.2021 16:00";"22.9";"746.0";"";"";"34";"Ветер, дующий с северо-запада";"4";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.07.2021 13:00";"21.5";"746.0";"";"";"48";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.07.2021 10:00";"19.8";"745.0";"";"";"62";"Ветер, дующий с северо-запада";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.07.2021 07:00";"15.4";"744.0";"";"";"77";"Ветер, дующий с северо-запада";"4";"";"";"40%.";" ";"";"";"12.4";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"24.07.2021 04:00";"12.4";"744.0";"";"";"85";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.07.2021 01:00";"13.7";"743.0";"";"";"79";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.07.2021 22:00";"16.4";"743.0";"";"";"63";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.07.2021 19:00";"22.7";"743.0";"";"";"34";"Ветер, дующий с северо-запада";"4";"";"";"Облаков нет.";" ";"";"";"";"24.0";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"23.07.2021 16:00";"23.9";"743.0";"";"";"30";"Ветер, дующий с северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.07.2021 13:00";"23.3";"743.0";"";"";"32";"Ветер, дующий с северо-запада";"3";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.07.2021 10:00";"19.8";"744.0";"";"";"66";"Ветер, дующий с северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.07.2021 07:00";"15.3";"744.0";"";"";"87";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"12.4";"";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"23.07.2021 04:00";"12.9";"743.0";"";"";"94";"Ветер, дующий с запада";"2";"";"";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.07.2021 01:00";"14.5";"743.0";"";"";"93";"Ветер, дующий с северо-запада";"2";"";"";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.07.2021 22:00";"17.5";"743.0";"";"";"85";"Ветер, дующий с северо-запада";"1";"";"";"70 – 80%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.07.2021 19:00";"21.1";"742.0";"";"";"61";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"";"22.8";"";"";"";"";"";"10.0";"";"0.5";"12";"";"";"";"";
"22.07.2021 16:00";"21.6";"742.0";"";"";"60";"Ветер, дующий с севера";"1";"";"";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.07.2021 13:00";"18.6";"741.0";"";"";"75";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.07.2021 10:00";"16.4";"740.0";"";"";"90";"Ветер, дующий с севера";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"15.8";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.07.2021 07:00";"17.0";"739.0";"";"";"94";"Ветер, дующий с севера";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"";"";"15.8";"";"";"";"";"";"";"10.0";"";"22.0";"12";"";"";"";"";
"22.07.2021 04:00";"16.0";"742.0";"";"";"96";"Штиль, безветрие";"0";"";"";"100%.";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"22.07.2021 01:00";"20.3";"742.0";"";"";"64";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.07.2021 22:00";"22.5";"743.0";"";"";"46";"Ветер, дующий с северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.07.2021 19:00";"27.4";"744.0";"";"";"31";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"29.1";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"21.07.2021 16:00";"28.5";"744.0";"";"";"29";"Ветер, дующий с северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.07.2021 13:00";"27.4";"745.0";"";"";"37";"Ветер, дующий с севера";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.07.2021 10:00";"24.6";"745.0";"";"";"55";"Ветер, дующий с северо-запада";"4";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.07.2021 07:00";"19.1";"744.0";"";"";"87";"Ветер, дующий с северо-запада";"4";"";"";"20–30%.";" ";"";"";"17.3";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"21.07.2021 04:00";"17.6";"744.0";"";"";"94";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.07.2021 01:00";"19.1";"743.0";"";"";"92";"Ветер, дующий с запада";"3";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.07.2021 22:00";"21.2";"743.0";"";"";"80";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.07.2021 19:00";"23.4";"742.0";"";"";"81";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"";"";"";"34.2";"";"";"";"";"";"10.0";"";"4.0";"12";"";"";"";"";
"20.07.2021 16:00";"21.6";"743.0";"";"";"86";"Ветер, дующий с запада";"2";"";"";"100%.";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.07.2021 13:00";"26.7";"742.0";"";"";"65";"Ветер, дующий с востока";"2";"";"";"90  или более, но не 100%";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.07.2021 10:00";"30.9";"743.0";"";"";"44";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.07.2021 07:00";"23.8";"744.0";"";"";"67";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"19.6";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"20.07.2021 04:00";"20.5";"744.0";"";"";"78";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.07.2021 01:00";"22.3";"744.0";"";"";"72";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.07.2021 22:00";"25.0";"744.0";"";"";"56";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.07.2021 19:00";"30.9";"744.0";"";"";"36";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"";"32.7";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"19.07.2021 16:00";"32.4";"744.0";"";"";"33";"Ветер, дующий с юго-востока";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.07.2021 13:00";"31.3";"745.0";"";"";"41";"Ветер, дующий с востока";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.07.2021 10:00";"28.7";"746.0";"";"";"51";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.07.2021 07:00";"20.4";"746.0";"";"";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"16.7";"";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"19.07.2021 04:00";"18.0";"745.0";"";"";"89";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.07.2021 01:00";"20.8";"745.0";"";"";"79";"Ветер, дующий с запада";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.07.2021 22:00";"24.5";"745.0";"";"";"60";"Штиль, безветрие";"0";"";"";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.07.2021 19:00";"28.7";"744.0";"";"";"45";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"31.4";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"18.07.2021 16:00";"30.2";"745.0";"";"";"32";"Ветер, дующий с востока";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.07.2021 13:00";"29.6";"746.0";"";"";"36";"Ветер, дующий с юго-востока";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.07.2021 10:00";"26.8";"746.0";"";"";"49";"Ветер, дующий с северо-востока";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.07.2021 07:00";"18.9";"746.0";"";"";"75";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"15.3";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"18.07.2021 04:00";"15.6";"745.0";"";"";"87";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.07.2021 01:00";"19.4";"745.0";"";"";"71";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.07.2021 22:00";"23.3";"746.0";"";"";"60";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.07.2021 19:00";"29.8";"745.0";"";"";"40";"Ветер, дующий с северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"17.07.2021 16:00";"31.2";"745.0";"";"";"38";"Ветер, дующий с севера";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.07.2021 13:00";"32.2";"745.0";"";"";"33";"Ветер, дующий с северо-запада";"5";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.07.2021 10:00";"27.7";"746.0";"";"";"59";"Ветер, дующий с северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.07.2021 07:00";"19.9";"746.0";"";"";"88";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"16.4";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"17.07.2021 04:00";"17.0";"746.0";"";"";"95";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.07.2021 01:00";"18.5";"746.0";"";"";"90";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.07.2021 22:00";"20.4";"746.0";"";"";"81";"Ветер, дующий с юго-запада";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.07.2021 19:00";"22.6";"746.0";"";"";"75";"Ветер, дующий с юго-востока";"2";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"";"";"";"32.5";"";"";"";"";"";"10.0";"";"0.8";"12";"";"";"";"";
"16.07.2021 16:00";"24.1";"746.0";"";"";"60";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";"Гроза, но без осадков, в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.07.2021 13:00";"31.8";"746.0";"";"";"33";"Ветер, дующий с северо-запада";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.07.2021 10:00";"26.8";"747.0";"";"";"55";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.07.2021 07:00";"20.9";"747.0";"";"";"74";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"17.3";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"16.07.2021 04:00";"17.4";"747.0";"";"";"89";"Ветер, дующий с юга";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.07.2021 01:00";"19.1";"747.0";"";"";"80";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.07.2021 22:00";"21.9";"747.0";"";"";"63";"Ветер, дующий с запада";"1";"";"";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.07.2021 19:00";"28.5";"747.0";"";"";"45";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Гроза, но без осадков, в срок наблюдения. ";"";"";"";"31.8";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"15.07.2021 16:00";"31.2";"747.0";"";"";"30";"Ветер, дующий с северо-запада";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.07.2021 13:00";"29.9";"748.0";"";"";"35";"Ветер, дующий с юго-запада";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.07.2021 10:00";"26.5";"749.0";"";"";"42";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.07.2021 07:00";"18.6";"749.0";"";"";"80";"Ветер, дующий с юго-востока";"1";"";"";"40%.";" ";"";"";"15.7";"";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"15.07.2021 04:00";"15.9";"749.0";"";"";"89";"Ветер, дующий с запада";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.07.2021 01:00";"18.3";"750.0";"";"";"76";"Ветер, дующий с запада";"1";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.07.2021 22:00";"23.9";"750.0";"";"";"45";"Ветер, дующий с востока";"1";"";"";"60%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.07.2021 19:00";"26.7";"749.0";"";"";"39";"Ветер, дующий с северо-востока";"1";"";"";"60%.";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"14.07.2021 16:00";"27.0";"750.0";"";"";"45";"Ветер, дующий с северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.07.2021 13:00";"27.6";"751.0";"";"";"47";"Ветер, дующий с северо-востока";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.07.2021 10:00";"25.5";"751.0";"";"";"58";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.07.2021 07:00";"18.0";"751.0";"";"";"89";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"14.07.2021 04:00";"15.3";"751.0";"";"";"95";"Ветер, дующий с запада";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.07.2021 01:00";"16.9";"751.0";"";"";"93";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.07.2021 22:00";"19.1";"751.0";"";"";"90";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.07.2021 19:00";"20.8";"751.0";"";"";"78";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";"Гроза (с осадками или без них). ";"";"";"";"30.0";"";"";"";"";"";"10.0";"";"11.0";"12";"";"";"";"";
"13.07.2021 16:00";"25.3";"751.0";"";"";"67";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.07.2021 13:00";"29.8";"751.0";"";"";"34";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.07.2021 10:00";"25.9";"752.0";"";"";"39";"Ветер, дующий с северо-запада";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.07.2021 07:00";"14.3";"753.0";"";"";"78";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"11.7";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"13.07.2021 04:00";"12.4";"753.0";"";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.07.2021 01:00";"14.5";"753.0";"";"";"73";"Ветер, дующий с юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.07.2021 22:00";"19.5";"753.0";"";"";"58";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.07.2021 19:00";"25.1";"753.0";"";"";"34";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"26.3";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"12.07.2021 16:00";"26.1";"753.0";"";"";"31";"Ветер, дующий с северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.07.2021 13:00";"25.1";"753.0";"";"";"31";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.07.2021 10:00";"22.0";"753.0";"";"";"38";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.07.2021 07:00";"16.4";"753.0";"";"";"60";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"12.1";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"12.07.2021 04:00";"12.9";"752.0";"";"";"71";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.07.2021 01:00";"15.8";"752.0";"";"";"61";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.07.2021 22:00";"19.3";"751.0";"";"";"52";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.07.2021 19:00";"26.5";"750.0";"";"";"30";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"11.07.2021 16:00";"26.5";"750.0";"";"";"33";"Ветер, дующий с северо-востока";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.07.2021 13:00";"26.1";"750.0";"";"";"35";"Ветер, дующий с севера";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.07.2021 04:00";"17.4";"750.0";"";"";"86";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.07.2021 01:00";"19.7";"749.0";"";"";"90";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.07.2021 22:00";"21.6";"748.0";"";"";"91";"Ветер, дующий с северо-запада";"1";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.07.2021 19:00";"26.1";"748.0";"";"";"61";"Ветер, дующий с северо-востока";"2";"";"";"90  или более, но не 100%";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"";"";"";"33.5";"";"";"";"";"";"10.0";"";"0.3";"12";"";"";"";"";
"10.07.2021 16:00";"25.9";"749.0";"";"";"65";"Ветер, дующий с северо-запада";"8";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.07.2021 13:00";"32.7";"749.0";"";"";"28";"Ветер, дующий с северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.07.2021 10:00";"29.9";"750.0";"";"";"36";"Ветер, дующий с северо-запада";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.07.2021 07:00";"21.6";"751.0";"";"";"65";"Ветер, дующий с северо-запада";"3";"";"";"60%.";" ";"";"";"18.5";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"10.07.2021 04:00";"18.5";"751.0";"";"";"73";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.07.2021 01:00";"22.6";"751.0";"";"";"55";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.07.2021 22:00";"25.3";"751.0";"";"";"46";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.07.2021 19:00";"31.7";"751.0";"";"";"25";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"";"33.4";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"09.07.2021 16:00";"32.5";"752.0";"";"";"26";"Ветер, дующий с северо-востока";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.07.2021 13:00";"31.9";"753.0";"";"";"29";"Ветер, дующий с северо-востока";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.07.2021 10:00";"28.9";"753.0";"";"";"40";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.07.2021 07:00";"22.4";"754.0";"";"";"53";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"17.8";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"09.07.2021 04:00";"19.0";"753.0";"";"";"64";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.07.2021 01:00";"22.8";"754.0";"";"";"54";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.07.2021 22:00";"24.3";"753.0";"";"";"51";"Штиль, безветрие";"0";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.07.2021 19:00";"30.1";"752.0";"";"";"30";"Ветер, дующий с северо-востока";"2";"";"";"60%.";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"08.07.2021 16:00";"30.2";"753.0";"";"";"30";"Ветер, дующий с востока";"3";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.07.2021 13:00";"29.5";"754.0";"";"";"33";"Ветер, дующий с северо-востока";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.07.2021 10:00";"27.5";"755.0";"";"";"35";"Ветер, дующий с севера";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
